Unnamed: 0,ACS.MC,ITX.MC,FER.MC,ELE.MC,SCYR.MC,AENA.MC,AMS.MC
2023-01-06,24.3045597076416,25.29940795898437,24.099241256713867,16.125328063964844,2.3365063667297363,118.5283203125,52.07562255859375
2023-01-07,24.3045597076416,25.29940795898437,24.099241256713867,16.125328063964844,2.3365063667297363,118.5283203125,52.07562255859375
2023-01-08,24.3045597076416,25.29940795898437,24.099241256713867,16.125328063964844,2.3365063667297363,118.5283203125,52.07562255859375
2023-01-09,24.740123748779297,25.384334564208984,24.319021224975582,15.846639633178713,2.36075496673584,118.20358276367188,52.09486770629883
2023-01-10,24.58331871032715,25.233348846435547,24.605688095092773,16.043865203857422,2.36075496673584,118.48192596435548,52.49900436401367
2023-01-11,24.382959365844727,25.733488082885746,24.328577041625977,16.026716232299805,2.312258243560791,120.56950378417967,52.44126510620117
2023-01-12,24.818523406982425,25.97883987426757,24.6821346282959,16.061016082763672,2.341702699661255,122.6106948852539,53.94234085083008
2023-01-13,24.661720275878903,25.94109344482422,24.940135955810547,15.932390213012695,2.377103090286255,125.02302551269533,55.00078582763672
2023-01-14,24.661720275878903,25.94109344482422,24.940135955810547,15.932390213012695,2.377103090286255,125.02302551269533,55.00078582763672
2023-01-15,24.661720275878903,25.94109344482422,24.940135955810547,15.932390213012695,2.377103090286255,125.02302551269533,55.00078582763672
2023-01-16,24.801103591918945,25.931655883789062,25.102582931518555,16.08245086669922,2.331083059310913,124.3735580444336,54.59665298461914
2023-01-17,24.766258239746094,25.875038146972656,25.38924789428711,16.091028213500977,2.364713191986084,125.39413452148438,54.44269943237305
2023-01-18,24.818523406982425,25.997709274291992,25.589916229248047,15.876651763916016,2.377103090286255,127.80646514892578,55.0777702331543
2023-01-19,24.43522834777832,25.384334564208984,25.217248916625977,15.696578025817873,2.343472957611084,125.11581420898438,53.67291641235352
2023-01-20,24.449037551879883,25.639122009277344,25.475250244140625,15.72658920288086,2.343472957611084,127.57451629638672,54.32723236083984
2023-01-21,24.449037551879883,25.639122009277344,25.475250244140625,15.72658920288086,2.343472957611084,127.57451629638672,54.32723236083984
2023-01-22,24.449037551879883,25.639122009277344,25.475250244140625,15.72658920288086,2.343472957611084,127.57451629638672,54.32723236083984
2023-01-23,23.899423599243164,25.7429256439209,25.723695755004883,15.756601333618164,2.378872394561768,126.878662109375,54.50042724609375
2023-01-24,23.917156219482425,25.95052719116211,26.04858589172364,15.769466400146484,2.4178123474121094,127.48172760009766,54.98154067993164
